muonID	time	pos_x	pos_y	pos_z
57	460	-100.846	-138.803	-77.91
38	2845	-103.825	-142.903	-77.91
34	675	-90.2238	177.074	-122.46
57	460	-99.6259	195.527	-101.37
62	10975	-118.168	-162.645	-32.12
32	13615	-134.41	-184.999	-28.7
7	20680	-151.881	-209.046	-25.85
16	21535	-153.493	-211.265	-15.02
16	21535	-152.886	-210.429	-15.02
4	8150	-157.556	-216.857	-12.93
28	520	-129.971	255.082	-193.52
71	450	-125.189	-172.308	-70.88
17	5395	-115.551	-159.042	-68.22
17	5395	-115.551	-159.042	-67.1574
17	5395	-115.551	-159.042	-65.5454
78	2255	-111.357	218.551	-136.71
28	520	-128.218	251.642	-127.4
38	2845	-152.674	-210.138	-56.5496
19	5000	-102.242	-140.724	48.27
27	12255	-105.369	-145.028	47.89
4	8160	-89.522	-123.217	37.82
4	8160	-88.7291	-122.125	37.82
4	8157.5	-87.6123	-120.588	37.82
4	8157.5	-84.0039	-115.622	37.82
4	8155	-88.4646	-121.761	18.44
4	8155	-87.6123	-120.588	18.44
4	8155	-84.0039	-115.622	18.44
4	8160	-89.522	-123.217	18.06
4	8160	-88.7291	-122.125	18.06
4	8157.5	-87.6123	-120.588	18.06
4	8157.5	-84.0039	-115.622	18.06
4	8157.5	-89.522	-123.217	3.62
4	8157.5	-88.7291	-122.125	3.62
4	8155	-88.4646	-121.761	3.62
4	8155	-87.6123	-120.588	3.62
4	8155	-84.0039	-115.622	3.62
58	6495	-69.826	137.041	171.641
91	4755	-75.4903	148.158	153.81
75	21205	-90.1638	-124.1	80
4	8157.5	-139.066	-191.407	38.39
4	8160	-137.048	-188.63	38.39
4	8157.5	-139.066	-191.407	18.1769
4	8160	-137.048	-188.63	18.1769
4	8155	-139.719	-192.307	17.3
4	8155	-139.066	-191.407	17.3
26	7640	-105.837	207.716	183.07
99	16195	-159.028	-218.884	2.29
63	13025	-138.668	-190.86	76.58
19	5005	-115.929	227.523	139.18
91	4755	-127.19	249.625	133.48
78	2250	-92.5262	127.351	-102.32
4	8150	-54.7043	-107.363	-19.2826
81	2365	-62.0771	-121.833	-9.7
57	455	-74.6233	-146.456	-11.79
46	5980	-92.4676	127.271	-182.5
78	2255	-93.0159	128.025	-169.39
57	465	-110.953	152.714	-156.28
38	2850	-66.8932	-131.285	-90.83
57	460	-72.7322	-142.745	-76.39
34	675	-118.265	162.778	-143.17
78	2252.5	-139.819	192.445	-127.97
78	2255	-139.708	192.291	-127.97
7	20680	-120.673	-236.834	-24.14
32	13615	-117.461	-230.531	-22.62
16	21535	-128.264	-251.732	-11.98
-999	2255	-145.627	200.438	-186.3
-999	2255	-144.063	198.286	-186.3
-999	2255	-143.728	197.825	-186.3
-999	2255	-143.505	197.517	-186.3
-999	2255	-145.627	200.438	-180.79
-999	2255	-144.063	198.286	-180.79
-999	2255	-143.728	197.825	-180.79
-999	2255	-143.505	197.517	-180.79
-999	2255	-145.627	200.438	-170.72
-999	2255	-144.063	198.286	-170.72
-999	2255	-143.728	197.825	-170.72
-999	2255	-143.505	197.517	-170.72
-999	2255	-145.627	200.438	-165.59
-999	2255	-144.063	198.286	-165.59
-999	2255	-143.728	197.825	-165.59
-999	2255	-143.505	197.517	-165.59
-999	25550	-87.7829	-172.284	-96.15
71	450	-95.1405	-186.724	-68.03
17	5395	-99.5483	-195.375	-59.67
15	18230	-95.9883	132.117	111.25
4	8160	-59.0039	-115.802	37.82
4	8160	-57.7499	-113.34	37.82
4	8157.5	-56.3328	-110.559	37.82
4	8157.5	-54.7839	-107.519	37.82
4	8157.5	-59.0039	-115.802	20.15
4	8157.5	-57.7499	-113.34	20.15
4	8155	-56.3328	-110.559	20.15
4	8155	-54.7839	-107.519	20.15
4	8160	-59.0039	-115.802	19.39
4	8160	-57.7499	-113.34	19.39
4	8157.5	-56.3328	-110.559	19.39
4	8157.5	-54.7839	-107.519	19.39
4	8157.5	-59.0039	-115.802	4.19
4	8157.5	-57.7499	-113.34	4.19
4	8155	-56.3328	-110.559	4.19
4	8155	-54.7839	-107.519	4.19
19	5000	-79.4007	-155.833	47.13
27	12255	-84.4899	-165.821	45.99
91	4755	-88.1707	121.357	159.13
4	8165	-78.4881	-154.042	91.21
4	8165	-73.2763	-143.813	91.21
4	8165	-69.3615	-136.13	91.21
4	8162.5	-66.425	-130.366	91.21
4	8165	-78.4881	-154.042	78.1
4	8165	-73.2763	-143.813	78.1
4	8165	-69.3615	-136.13	78.1
4	8162.5	-66.425	-130.366	78.1
4	8165	-78.4881	-154.042	69.55
4	8165	-73.2763	-143.813	69.55
4	8165	-69.3615	-136.13	69.55
4	8162.5	-66.425	-130.366	69.55
4	8162.5	-78.4881	-154.042	64.23
4	8162.5	-73.2763	-143.813	64.23
4	8162.5	-69.3615	-136.13	64.23
4	8160	-66.425	-130.366	64.23
87	1120	-101.398	-199.004	25.85
26	7640	-137.362	189.063	180.98
26	7640	-137.362	189.063	180.6
4	8157.5	-130.312	-255.752	36.8347
4	8160	-126.625	-248.515	36.8347
4	8155	-130.312	-255.752	18.25
4	8155	-128.557	-252.307	18.25
4	8157.5	-126.625	-248.515	18.25
4	8157.5	-130.312	-255.752	15.78
4	8160	-126.625	-248.515	15.78
4	8155	-130.312	-255.752	15.59
4	8155	-128.557	-252.307	15.59
4	8157.5	-126.625	-248.515	15.59
